,Years,Unnamed: 1, ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,sum1,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,sum2,Unnamed: 16,Total
0,2013,,952812.744,208841.192,25948.308,234789.5,182045.245,,33178.21,23600.28,1426425.979,1590332.24,13664.934,171652.07,72281.846,1847931.09,,3274357069
1,2014,,955236.792,209299.67,27048.996,236348.666,176959.008,,34832.115,25234.502,1428611.083,1665153.348,14880.586,174199.457,66250.673,1920484.064,3274357.069,3349095147
2,2015,,969192.242,199958.887,28676.656,228635.543,169161.408,,36664.392,25483.072,1429136.657,1695777.588,15725.258,176148.926,64853.55,1952505.322,,3381641979
3,2016,,990068.737,197660.693,29239.391,226900.084,167817.192,,37284.619,26329.916,1448400.548,1703535.767,16133.364,178709.238,64758.104,1963136.473,,3411537021
4,2017,,1005546.458,180619.4,30862.859,211482.259,163293.075,,39094.611,28366.557,1447782.96,1754145.416,16621.468,178501.621,62806.219,2012074.724,,3459857684
5,2017,,,,,,,,,,,,,,,,,2000000000
6,2016,,,,,,,,,,,,,,,,,2000000000
7,2015,,,,,,,,,,,,,,,,,2000000000
8,2014,,,,,,,,,,,,,,,,,2000000000
9,2013,,,,,,,,,,,,,,,,,2000000000
